[  1400,  0.0000461]     0.6280,     0.8562,     0.9067,     0.1085,     0.2246,     3.4893, 
[  1450,  0.0000476]     0.6506,     0.8651,     0.9119,     0.1165,     0.2407,     3.4092, 
[  1500,  0.0000492]     0.6408,     0.8613,     0.9103,     0.1221,     0.2527,     3.5611, 
[  1550,  0.0000507]     0.6260,     0.8562,     0.9086,     0.1168,     0.2388,     3.5226, 
[  1600,  0.0000522]     0.6729,     0.8835,     0.9251,     0.1113,     0.2154,     2.9956, 
[  1650,  0.0000538]     0.6557,     0.8704,     0.9178,     0.1224,     0.2231,     3.3574, 
[  1700,  0.0000553]     0.6765,     0.8833,     0.9261,     0.1162,     0.2221,     2.8575, 
[  1750,  0.0000568]     0.6479,     0.8701,     0.9180,     0.1224,     0.2328,     3.1298, 
[  1800,  0.0000584]     0.6623,     0.8673,     0.9143,     0.1281,     0.2204,     3.1609, 
[  1850,  0.0000599]     0.6509,     0.8726,     0.9191,     0.1152,     0.2160,     3.1437, 
[  1900,  0.0000614]     0.6532,     0.8697,     0.9169,     0.1152,     0.2124,     3.1913, 
[  1950,  0.0000630]     0.6352,     0.8581,     0.9092,     0.1231,     0.2216,     3.1426, 
[  2000,  0.0000645]     0.6522,     0.8731,     0.9181,     0.1079,     0.2080,     3.1788, 
[  2050,  0.0000660]     0.6573,     0.8714,     0.9159,     0.1123,     0.2057,     3.0436, 
[  2100,  0.0000676]     0.6853,     0.8862,     0.9277,     0.0968,     0.1980,     2.9817, 
[  2150,  0.0000691]     0.6639,     0.8747,     0.9203,     0.1010,     0.2039,     3.1537, 
[  2200,  0.0000706]     0.6748,     0.8755,     0.9181,     0.1219,     0.2055,     3.1944, 
[  2250,  0.0000722]     0.6626,     0.8763,     0.9217,     0.1075,     0.2044,     2.9477, 
[  2300,  0.0000737]     0.6593,     0.8734,     0.9195,     0.1110,     0.2107,     3.3537, 
[  2350,  0.0000752]     0.6668,     0.8674,     0.9118,     0.1166,     0.2036,     3.3459, 
[  2400,  0.0000768]     0.6650,     0.8779,     0.9228,     0.1182,     0.2120,     2.9745, 
[  2450,  0.0000783]     0.6685,     0.8735,     0.9190,     0.1146,     0.2008,     3.0141, 
[  2500,  0.0000798]     0.6670,     0.8787,     0.9235,     0.1069,     0.2005,     2.8514, 
[  2550,  0.0000799]     0.6615,     0.8699,     0.9151,     0.1088,     0.2010,     3.2925, 
[  2600,  0.0000798]     0.6493,     0.8692,     0.9161,     0.1091,     0.2114,     3.0896, 
[  2650,  0.0000798]     0.6628,     0.8765,     0.9215,     0.1043,     0.2028,     3.1455, 
[  2700,  0.0000797]     0.6668,     0.8780,     0.9213,     0.1096,     0.2108,     3.1306, 
[  2750,  0.0000796]     0.6881,     0.8893,     0.9309,     0.1119,     0.2010,     2.8732, 
[  2800,  0.0000795]     0.6693,     0.8758,     0.9207,     0.1061,     0.1991,     2.9797, 
[  2850,  0.0000794]     0.6825,     0.8831,     0.9246,     0.1017,     0.1938,     3.0221, 
[  2900,  0.0000793]     0.6798,     0.8817,     0.9257,     0.1211,     0.2011,     3.0684, 
